,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13,6gV4xPbvYJz73lA1cr4NhH,Back for More,Breakbot,0.776,0.745,6,-6.516,1,0.0331,0.029,0.653,0.062,0.907,114.997,audio_features,6gV4xPbvYJz73lA1cr4NhH,spotify:track:6gV4xPbvYJz73lA1cr4NhH,https://api.spotify.com/v1/tracks/6gV4xPbvYJz73lA1cr4NhH,https://api.spotify.com/v1/audio-analysis/6gV4xPbvYJz73lA1cr4NhH,255387,4
14,4DX82Vc8qAH4jJPvKxvwg6,Move Your Feet,Junior Senior,0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,audio_features,4DX82Vc8qAH4jJPvKxvwg6,spotify:track:4DX82Vc8qAH4jJPvKxvwg6,https://api.spotify.com/v1/tracks/4DX82Vc8qAH4jJPvKxvwg6,https://api.spotify.com/v1/audio-analysis/4DX82Vc8qAH4jJPvKxvwg6,181827,4
15,0BgY6O6G7EtsneY6dAKZeI,Solo Como Amigos,La Banda Baston,0.843,0.56,8,-6.858,1,0.164,0.184,2.14e-06,0.205,0.719,85.008,audio_features,0BgY6O6G7EtsneY6dAKZeI,spotify:track:0BgY6O6G7EtsneY6dAKZeI,https://api.spotify.com/v1/tracks/0BgY6O6G7EtsneY6dAKZeI,https://api.spotify.com/v1/audio-analysis/0BgY6O6G7EtsneY6dAKZeI,273176,4
16,1IJcROM3wuO4phCdjlEl5t,Protocolo,WOS,0.549,0.445,1,-14.099,1,0.0442,0.134,0.0,0.087,0.642,134.984,audio_features,1IJcROM3wuO4phCdjlEl5t,spotify:track:1IJcROM3wuO4phCdjlEl5t,https://api.spotify.com/v1/tracks/1IJcROM3wuO4phCdjlEl5t,https://api.spotify.com/v1/audio-analysis/1IJcROM3wuO4phCdjlEl5t,254208,4
17,6NiIHp4nhuHkcc4rZxctyF,Ciudad Gris,C.R.O,0.782,0.354,9,-8.243,1,0.133,0.286,3.03e-05,0.187,0.57,137.939,audio_features,6NiIHp4nhuHkcc4rZxctyF,spotify:track:6NiIHp4nhuHkcc4rZxctyF,https://api.spotify.com/v1/tracks/6NiIHp4nhuHkcc4rZxctyF,https://api.spotify.com/v1/audio-analysis/6NiIHp4nhuHkcc4rZxctyF,208379,4
18,1ueLYdeuGMAwUiaezLDObD,Funeral,Cami,0.725,0.641,9,-5.06,0,0.269,0.459,0.0,0.215,0.577,95.01,audio_features,1ueLYdeuGMAwUiaezLDObD,spotify:track:1ueLYdeuGMAwUiaezLDObD,https://api.spotify.com/v1/tracks/1ueLYdeuGMAwUiaezLDObD,https://api.spotify.com/v1/audio-analysis/1ueLYdeuGMAwUiaezLDObD,221400,4
19,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,audio_features,0d28khcov6AiegSCpG5TuT,spotify:track:0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,222640,4
20,0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4
21,0dcMqjeDpwqB2xhzMsld0p,El Mañana,Gorillaz,0.644,0.728,9,-8.396,0,0.029,0.000988,0.0279,0.473,0.607,132.488,audio_features,0dcMqjeDpwqB2xhzMsld0p,spotify:track:0dcMqjeDpwqB2xhzMsld0p,https://api.spotify.com/v1/tracks/0dcMqjeDpwqB2xhzMsld0p,https://api.spotify.com/v1/audio-analysis/0dcMqjeDpwqB2xhzMsld0p,235360,4
22,69dXVFCMiz3SL1L7M24NdX,bad vibes forever,XXXTENTACION,0.8,0.526,8,-5.153,1,0.0716,0.334,0.00174,0.0571,0.746,129.874,audio_features,69dXVFCMiz3SL1L7M24NdX,spotify:track:69dXVFCMiz3SL1L7M24NdX,https://api.spotify.com/v1/tracks/69dXVFCMiz3SL1L7M24NdX,https://api.spotify.com/v1/audio-analysis/69dXVFCMiz3SL1L7M24NdX,150475,4
